UTC,Lokalzeit,Lufttemperatur
2021-12-28 09:00:00,2021-12-28 10:00:00,11.80236
2021-12-28 10:00:00,2021-12-28 11:00:00,12.17171
2021-12-28 11:00:00,2021-12-28 12:00:00,12.75552
2021-12-28 12:00:00,2021-12-28 13:00:00,12.86765
2021-12-28 13:00:00,2021-12-28 14:00:00,12.75909
2021-12-28 14:00:00,2021-12-28 15:00:00,12.49642
2021-12-28 15:00:00,2021-12-28 16:00:00,11.93618
2021-12-28 16:00:00,2021-12-28 17:00:00,11.26363
2021-12-28 17:00:00,2021-12-28 18:00:00,10.95103
2021-12-28 18:00:00,2021-12-28 19:00:00,10.75891
2021-12-28 19:00:00,2021-12-28 20:00:00,10.87549
2021-12-28 20:00:00,2021-12-28 21:00:00,10.76988
2021-12-28 21:00:00,2021-12-28 22:00:00,10.78468
2021-12-28 22:00:00,2021-12-28 23:00:00,10.63354
2021-12-28 23:00:00,2021-12-29 00:00:00,10.53788
2021-12-29 00:00:00,2021-12-29 01:00:00,10.32888
2021-12-29 01:00:00,2021-12-29 02:00:00,10.06295
2021-12-29 02:00:00,2021-12-29 03:00:00,9.851429
2021-12-29 03:00:00,2021-12-29 04:00:00,9.978965
2021-12-29 04:00:00,2021-12-29 05:00:00,9.917979
2021-12-29 05:00:00,2021-12-29 06:00:00,9.842886
2021-12-29 06:00:00,2021-12-29 07:00:00,9.78025
2021-12-29 07:00:00,2021-12-29 08:00:00,9.85549
2021-12-29 08:00:00,2021-12-29 09:00:00,10.03256
2021-12-29 09:00:00,2021-12-29 10:00:00,10.32533
2021-12-29 10:00:00,2021-12-29 11:00:00,9.856616
2021-12-29 11:00:00,2021-12-29 12:00:00,8.986376
2021-12-29 12:00:00,2021-12-29 13:00:00,9.111886
2021-12-29 13:00:00,2021-12-29 14:00:00,9.360958
2021-12-29 14:00:00,2021-12-29 15:00:00,9.629985
2021-12-29 15:00:00,2021-12-29 16:00:00,11.02271
2021-12-29 16:00:00,2021-12-29 17:00:00,11.93324
2021-12-29 17:00:00,2021-12-29 18:00:00,12.4265
2021-12-29 18:00:00,2021-12-29 19:00:00,13.08628
2021-12-29 19:00:00,2021-12-29 20:00:00,13.36529
2021-12-29 20:00:00,2021-12-29 21:00:00,13.79111
2021-12-29 21:00:00,2021-12-29 22:00:00,13.91001
2021-12-29 22:00:00,2021-12-29 23:00:00,13.91565
2021-12-29 23:00:00,2021-12-30 00:00:00,13.90628
2021-12-30 00:00:00,2021-12-30 01:00:00,13.78758
2021-12-30 01:00:00,2021-12-30 02:00:00,13.59637
2021-12-30 02:00:00,2021-12-30 03:00:00,13.7376
2021-12-30 03:00:00,2021-12-30 04:00:00,13.85612
2021-12-30 04:00:00,2021-12-30 05:00:00,14.01248
2021-12-30 05:00:00,2021-12-30 06:00:00,14.11508
2021-12-30 06:00:00,2021-12-30 07:00:00,13.91163
2021-12-30 07:00:00,2021-12-30 08:00:00,14.0318
2021-12-30 08:00:00,2021-12-30 09:00:00,14.18801
2021-12-30 09:00:00,2021-12-30 10:00:00,14.27529
2021-12-30 10:00:00,2021-12-30 11:00:00,14.53053
2021-12-30 11:00:00,2021-12-30 12:00:00,14.92565
2021-12-30 12:00:00,2021-12-30 13:00:00,15.41761
