dttm,th,origin
2022-01-09T13:00:00Z,6.011,R
2022-01-09T14:00:00Z,6.104,R
2022-01-09T15:00:00Z,5.536,R
2022-01-09T16:00:00Z,4.796,H
2022-01-09T17:00:00Z,4.363,H
2022-01-09T18:00:00Z,4.067,H
2022-01-09T19:00:00Z,4.189,H
2022-01-09T20:00:00Z,3.893,H
2022-01-09T21:00:00Z,3.84,H
2022-01-09T22:00:00Z,3.49,H
2022-01-09T23:00:00Z,2.854,H
