date_time,th
2021-12-25T04:00:00Z,7.38
2021-12-25T05:00:00Z,8.165
2021-12-25T06:00:00Z,8.647
2021-12-25T07:00:00Z,8.032
2021-12-25T08:00:00Z,7.732
2021-12-25T09:00:00Z,7.849
2021-12-25T10:00:00Z,8.481
2021-12-25T11:00:00Z,9.225
2021-12-25T12:00:00Z,9.324
2021-12-25T13:00:00Z,9.669
2021-12-25T14:00:00Z,10.128
2021-12-25T15:00:00Z,9.817
2021-12-25T16:00:00Z,9.225
2021-12-25T17:00:00Z,8.879
2021-12-25T18:00:00Z,8.663
2021-12-25T19:00:00Z,8.415
2021-12-25T20:00:00Z,8.099
2021-12-25T21:00:00Z,7.866
2021-12-25T22:00:00Z,7.699
2021-12-25T23:00:00Z,7.498
2021-12-26T00:00:00Z,7.01
2021-12-26T01:00:00Z,5.791
2021-12-26T02:00:00Z,5.175
2021-12-26T03:00:00Z,4.813
2021-12-26T04:00:00Z,4.484
2021-12-26T05:00:00Z,4.276
2021-12-26T06:00:00Z,NA
2021-12-26T07:00:00Z,4.12
2021-12-26T08:00:00Z,NA
2021-12-26T09:00:00Z,4.398
2021-12-26T10:00:00Z,4.951
2021-12-26T11:00:00Z,5.791
2021-12-26T12:00:00Z,6.404
2021-12-26T13:00:00Z,7.045
2021-12-26T14:00:00Z,6.877
2021-12-26T15:00:00Z,7.112
2021-12-26T16:00:00Z,7.297
2021-12-26T17:00:00Z,7.414
2021-12-26T18:00:00Z,7.515
2021-12-26T19:00:00Z,7.498
2021-12-26T20:00:00Z,7.414
2021-12-26T21:00:00Z,NA
2021-12-26T22:00:00Z,7.615
2021-12-26T23:00:00Z,7.498
2021-12-27T00:00:00Z,6.928
2021-12-27T01:00:00Z,7.18
2021-12-27T02:00:00Z,7.062
2021-12-27T03:00:00Z,7.347
2021-12-27T04:00:00Z,7.28
2021-12-27T05:00:00Z,7.196
2021-12-27T06:00:00Z,7.045
2021-12-27T07:00:00Z,6.437
2021-12-27T08:00:00Z,5.586
2021-12-27T09:00:00Z,5.175
2021-12-27T10:00:00Z,5.79
2021-12-27T11:00:00Z,7.414
2021-12-27T12:00:00Z,8.448
2021-12-27T13:00:00Z,8.614
2021-12-27T14:00:00Z,8.498
2021-12-27T15:00:00Z,8.514
2021-12-27T16:00:00Z,8.149
2021-12-27T17:00:00Z,7.749
2021-12-27T18:00:00Z,8.58
2021-12-27T19:00:00Z,9.341
2021-12-27T20:00:00Z,9.455
2021-12-27T21:00:00Z,9.587
2021-12-27T22:00:00Z,9.636
2021-12-27T23:00:00Z,9.406
2021-12-28T00:00:00Z,9.472
2021-12-28T01:00:00Z,9.076
2021-12-28T02:00:00Z,8.713
2021-12-28T03:00:00Z,8.993
2021-12-28T04:00:00Z,9.39
2021-12-28T05:00:00Z,9.406
2021-12-28T06:00:00Z,10.21
2021-12-28T07:00:00Z,10.357
2021-12-28T08:00:00Z,10.488
2021-12-28T09:00:00Z,11.171
2021-12-28T10:00:00Z,11.69
2021-12-28T11:00:00Z,12.336
2021-12-28T12:00:00Z,12.642
2021-12-28T13:00:00Z,12.481
2021-12-28T14:00:00Z,12.416
2021-12-28T15:00:00Z,10.813
2021-12-28T16:00:00Z,10.03
2021-12-28T17:00:00Z,9.965
2021-12-28T18:00:00Z,10.177
2021-12-28T19:00:00Z,9.817
2021-12-28T20:00:00Z,9.242
2021-12-28T21:00:00Z,8.878
2021-12-28T22:00:00Z,9.077
2021-12-28T23:00:00Z,9.341
2021-12-29T00:00:00Z,9.554
2021-12-29T01:00:00Z,9.439
2021-12-29T02:00:00Z,9.324
2021-12-29T03:00:00Z,9.357
2021-12-29T04:00:00Z,9.439
2021-12-29T05:00:00Z,9.439
2021-12-29T06:00:00Z,9.324
2021-12-29T07:00:00Z,9.291
2021-12-29T08:00:00Z,9.341
2021-12-29T09:00:00Z,9.702
2021-12-29T10:00:00Z,9.981
2021-12-29T11:00:00Z,9.192
2021-12-29T12:00:00Z,8.862
2021-12-29T13:00:00Z,9.193
2021-12-29T14:00:00Z,9.176
2021-12-29T15:00:00Z,9.143
2021-12-29T16:00:00Z,9.472
2021-12-29T17:00:00Z,9.702
2021-12-29T18:00:00Z,10.715
2021-12-29T19:00:00Z,11.819
2021-12-29T20:00:00Z,12.417
2021-12-29T21:00:00Z,12.594
2021-12-29T22:00:00Z,12.77
2021-12-29T23:00:00Z,12.867
2021-12-30T00:00:00Z,12.916
2021-12-30T01:00:00Z,12.658
2021-12-30T02:00:00Z,12.481
2021-12-30T03:00:00Z,12.626
2021-12-30T04:00:00Z,12.899
2021-12-30T05:00:00Z,13.044
2021-12-30T06:00:00Z,12.98
2021-12-30T07:00:00Z,12.835
2021-12-30T08:00:00Z,13.205
2021-12-30T09:00:00Z,13.526
2021-12-30T10:00:00Z,13.718
2021-12-30T11:00:00Z,14.134
2021-12-30T12:00:00Z,14.485
2021-12-30T13:00:00Z,14.693
2021-12-30T14:00:00Z,14.836
2021-12-30T15:00:00Z,14.645
2021-12-30T16:00:00Z,14.23
2021-12-30T17:00:00Z,13.75
2021-12-30T18:00:00Z,12.98
2021-12-30T19:00:00Z,12.207
2021-12-30T20:00:00Z,12.013
2021-12-30T21:00:00Z,11.447
2021-12-30T22:00:00Z,10.046
2021-12-30T23:00:00Z,9.11
2021-12-31T00:00:00Z,8.581
2021-12-31T01:00:00Z,8.066
2021-12-31T02:00:00Z,7.949
2021-12-31T03:00:00Z,7.615
2021-12-31T04:00:00Z,7.196
2021-12-31T05:00:00Z,6.657
2021-12-31T06:00:00Z,6.59
2021-12-31T07:00:00Z,6.132
2021-12-31T08:00:00Z,5.877
2021-12-31T09:00:00Z,5.894
2021-12-31T10:00:00Z,6.672
2021-12-31T11:00:00Z,8.927
2021-12-31T12:00:00Z,10.552
2021-12-31T13:00:00Z,11.512
2021-12-31T14:00:00Z,12.431
2021-12-31T15:00:00Z,13.782
2021-12-31T16:00:00Z,11.461
2021-12-31T17:00:00Z,9.076
2021-12-31T18:00:00Z,8.398
2021-12-31T19:00:00Z,7.665
2021-12-31T20:00:00Z,7.28
2021-12-31T21:00:00Z,6.64
2021-12-31T22:00:00Z,6.047
2021-12-31T23:00:00Z,5.911
2022-01-01T00:00:00Z,5.449
2022-01-01T01:00:00Z,4.969
2022-01-01T02:00:00Z,4.502
2022-01-01T03:00:00Z,4.207
2022-01-01T04:00:00Z,4.258
2022-01-01T05:00:00Z,4.276
2022-01-01T06:00:00Z,4.242
2022-01-01T07:00:00Z,4.033
2022-01-01T08:00:00Z,3.98
2022-01-01T09:00:00Z,4.224
2022-01-01T10:00:00Z,5.156
2022-01-01T11:00:00Z,7.579
2022-01-01T12:00:00Z,9.159
2022-01-01T13:00:00Z,10.699
2022-01-01T14:00:00Z,11.188
2022-01-01T15:00:00Z,11.074
2022-01-01T16:00:00Z,9.652
2022-01-01T17:00:00Z,8.713
2022-01-01T18:00:00Z,7.898
2022-01-01T19:00:00Z,6.691
2022-01-01T20:00:00Z,6.539
2022-01-01T21:00:00Z,6.047
2022-01-01T22:00:00Z,5.518
2022-01-01T23:00:00Z,5.244
2022-01-02T00:00:00Z,5.192
2022-01-02T01:00:00Z,4.796
2022-01-02T02:00:00Z,4.519
2022-01-02T03:00:00Z,4.762
2022-01-02T04:00:00Z,4.432
2022-01-02T05:00:00Z,4.224
2022-01-02T06:00:00Z,4.172
2022-01-02T07:00:00Z,4.64
2022-01-02T08:00:00Z,4.779
2022-01-02T09:00:00Z,5.191
2022-01-02T10:00:00Z,6.488
2022-01-02T11:00:00Z,7.78
2022-01-02T12:00:00Z,10.308
2022-01-02T13:00:00Z,11.995
2022-01-02T14:00:00Z,13.75
2022-01-02T15:00:00Z,13.782
2022-01-02T16:00:00Z,13.926
2022-01-02T17:00:00Z,13.718
2022-01-02T18:00:00Z,13.06
2022-01-02T19:00:00Z,12.738
2022-01-02T20:00:00Z,12.433
2022-01-02T21:00:00Z,11.997
2022-01-02T22:00:00Z,12.078
2022-01-02T23:00:00Z,12.158
2022-01-03T00:00:00Z,12.078
2022-01-03T01:00:00Z,11.884
2022-01-03T02:00:00Z,11.77
2022-01-03T03:00:00Z,11.609
2022-01-03T04:00:00Z,11.399
2022-01-03T05:00:00Z,11.236
2022-01-03T06:00:00Z,NA
2022-01-03T07:00:00Z,10.992
2022-01-03T08:00:00Z,10.83
2022-01-03T09:00:00Z,11.025
2022-01-03T10:00:00Z,11.22
2022-01-03T11:00:00Z,11.334
2022-01-03T12:00:00Z,11.415
2022-01-03T13:00:00Z,11.496
2022-01-03T14:00:00Z,11.69
2022-01-03T15:00:00Z,11.77
2022-01-03T16:00:00Z,11.609
2022-01-03T17:00:00Z,11.593
2022-01-03T18:00:00Z,11.609
2022-01-03T19:00:00Z,11.366
2022-01-03T20:00:00Z,11.318
2022-01-03T21:00:00Z,11.333
2022-01-03T22:00:00Z,11.77
2022-01-03T23:00:00Z,11.916
2022-01-04T00:00:00Z,NA
2022-01-04T01:00:00Z,11.916
2022-01-04T02:00:00Z,12.061
2022-01-04T03:00:00Z,12.304
2022-01-04T04:00:00Z,12.175
2022-01-04T05:00:00Z,11.964
2022-01-04T06:00:00Z,11.334
2022-01-04T07:00:00Z,11.867
2022-01-04T08:00:00Z,12.835
2022-01-04T09:00:00Z,13.189
2022-01-04T10:00:00Z,13.108
2022-01-04T11:00:00Z,13.99
2022-01-04T12:00:00Z,14.246
2022-01-04T13:00:00Z,13.558
2022-01-04T14:00:00Z,12.545
2022-01-04T15:00:00Z,12.207
2022-01-04T16:00:00Z,11.9
2022-01-04T17:00:00Z,9.387
